us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0001,3286,5086
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0002,3221,5100
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0003,3175,5093
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0004,3060,5027
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0005,3076,4989
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0006,2955,4982
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0007,2976,4999
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0008,2880,5022
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0009,2348,4930
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0010,2366,4921
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0011,2902,4930
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0012,2938,5034
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0013,2980,4958
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0014,2893,4986
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0015,2969,4970
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0016,2937,4985
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0017,3018,4972
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0018,2908,4973
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0019,3009,4960
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0020,2934,4958
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0021,3003,4968
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0022,2949,4989
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0023,3034,4990
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0024,3033,5033
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0025,3029,4954
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0026,2977,4951
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0027,3035,4970
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0028,2996,4952
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0029,3031,4962
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0030,2995,4965
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0031,3015,4975
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0032,2988,4940
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0033,3027,4958
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0034,3009,4951
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0035,3007,4991
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0036,2966,4964
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0037,3006,4971
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0038,2971,4979
us/Roll_of_Lloyds_1771_1930/Roll_of_Lloyds_1771_1930_0039,3003,4974
